age,marital,education,campaign,sucess_cellular,contact
34,2,6,3,2,1
57,0,6,2,1,0
27,1,5,1,1,0
48,1,2,6,1,0
38,2,6,2,2,0
34,1,1,1,1,0
24,1,5,4,1,0
30,2,3,3,2,0
43,0,7,3,1,0
45,1,3,1,1,0
31,2,3,1,0,0
47,0,5,1,0,0
25,2,2,2,1,0
28,2,5,1,1,0
28,2,7,1,3,1
35,1,5,1,1,0
31,2,6,3,1,0
33,1,3,2,0,0
41,1,6,1,1,0
41,1,2,1,0,0
45,1,6,1,1,0
34,2,5,2,1,0
36,1,3,2,2,1
40,1,2,1,1,0
38,1,3,1,2,1
24,2,2,3,1,0
31,2,2,4,1,1
31,2,6,3,0,0
38,1,3,2,2,1
31,1,3,1,1,0
25,1,6,2,1,0
35,1,6,3,1,0
40,1,5,2,3,1
52,1,5,2,2,1
53,1,6,1,2,1
45,1,2,2,0,0
52,1,0,1,1,0
58,1,6,1,2,1
48,1,2,1,0,0
44,1,3,2,2,1
31,2,6,1,2,0
34,1,2,3,1,0
46,0,6,3,1,0
30,2,3,2,2,1
31,2,6,4,1,0
49,1,6,2,1,0
56,1,6,3,1,0
34,2,6,4,1,0
41,0,6,2,1,0
32,2,3,1,1,0
56,1,0,3,1,0
32,1,1,1,2,1
45,1,3,3,2,0
38,1,5,2,1,0
29,2,6,1,2,0
54,0,5,2,2,1
27,2,2,2,2,1
57,1,6,1,2,1
33,0,6,2,2,1
38,0,3,1,0,0
54,1,0,2,1,0
41,2,3,2,2,0
40,1,1,1,2,1
44,1,6,1,2,1
26,1,3,3,1,0
34,1,6,1,1,0
28,2,6,2,1,0
48,1,0,1,1,0
53,0,0,3,1,0
31,0,2,2,0,0
54,0,6,1,1,0
33,2,3,2,2,0
41,2,6,5,2,1
56,1,5,2,3,0
33,0,5,2,1,0
44,1,3,1,1,0
42,1,0,4,2,1
41,1,3,1,3,1
23,2,2,1,2,0
32,2,5,1,1,0
27,2,5,1,2,1
24,2,6,2,1,0
39,1,2,2,2,1
36,2,1,1,2,1
52,1,5,5,1,0
30,1,3,1,2,1
20,2,2,4,2,1
26,2,5,1,1,0
38,1,2,2,1,0
29,2,6,1,2,1
44,2,1,2,3,1
37,1,2,1,0,0
26,2,2,4,2,1
53,1,2,4,1,0
42,1,6,1,1,0
37,2,3,1,2,1
29,0,0,1,2,1
26,1,6,3,1,0
20,2,7,2,3,0
30,1,3,1,2,0
37,0,6,1,2,1
32,1,7,1,2,1
30,2,5,1,1,0
41,1,7,6,1,0
29,1,3,1,0,0
34,2,6,3,1,0
34,1,5,1,2,1
42,1,0,3,2,1
36,2,3,1,2,1
32,1,0,1,2,1
42,2,0,1,1,0
52,1,5,1,2,1
35,0,6,2,2,0
37,2,3,1,2,1
45,1,0,4,2,1
23,1,2,3,2,1
29,2,5,1,1,0
34,2,5,2,3,0
35,1,3,2,1,0
28,1,6,2,1,0
57,1,0,3,1,0
39,1,3,1,1,0
28,2,7,1,2,1
34,1,3,2,0,0
27,2,6,6,1,0
42,2,3,2,1,0
44,1,2,1,2,1
35,1,6,2,2,1
29,2,6,1,1,0
56,0,2,3,2,0
54,1,5,2,3,0
49,2,0,1,2,1
32,2,5,2,1,0
20,2,3,1,2,0
36,1,6,2,1,0
28,2,2,1,0,0
37,1,3,4,2,1
35,2,3,3,1,0
28,2,6,5,2,1
